scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,max_contact_force,arm_force_fl_mean,arm_force_fr_mean,arm_force_rl_mean,arm_force_rr_mean,arm_force_imbalance,final_state,landing_cmd_time,pred_decision,gt_safe_to_land,decision_outcome,scenario_policy,launch_pid,launch_log,exception_message
1,stable,1,,1.81925542940874,-5.31403234295651e-07,1.82559789042107,-125.707852404709,2.063093572855,2.29289317131042,0.487331485153325,1.61868549771362,0.245208389083526,4.54342808623133,0.192688932701958,0.358399789245124,-5.31403234295651e-07,0.00053050692542302,4.03686898813316e-09,0.000303957251785975,0.0182312142180218,2.81542856227401e-07,0.00058219329043545,1.12474417407374,1.88341208435577,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,12.972145,land,stable,TP,exploit,2944017,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s001_20260311_020837.log,
2,stable,1,,2.089327383632,-8.97265768202655e-10,2.02723415744542,-127.159086350379,1.98512307802836,2.03228497505188,0.265800156873329,1.45772006937063,0.416730946884389,4.55259277658493,0.275783180274537,0.331558551402298,-8.97265768202655e-10,0.000674692054786768,8.05393217190188e-11,3.04518773299219e-09,0.331558551402298,2.41315997820014e-07,0.000547551087432555,1.15468679504918,1.94652840384389,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.410601,land,stable,TP,exploit,2951511,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s002_20260311_020931.log,
3,stable,1,,1.57123276527324,-1.86916163839577e-06,1.78621207469597,-126.74723060183,3.30577103296916,3.39828562736511,0.377308884100632,1.18020898107805,0.374240195523924,4.45502118327656,0.245191377211848,0.284056514498871,-1.86916163839577e-06,0.00259506602636042,0.000730416088198706,7.55610732403682e-05,0.284056514498871,1.36648837352098e-06,0.00275386534725081,1.03440559884401,1.84664313172298,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.911891,land,stable,TP,exploit,2958917,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s003_20260311_021018.log,
4,stable,1,,1.6281985441731,-4.87357120969904e-07,1.9489592442671,-128.196609436739,2.52127582686288,3.15124297142029,0.367730375832036,1.10343479834073,0.378887373401102,4.33733504620456,0.241685204315449,0.269122190359641,-4.87357120969904e-07,0.000486461231487136,4.0450010951187e-09,0.000278720684663615,0.269122190359641,2.83411461667489e-07,0.00056569999537785,1.01569002885074,1.80471186979904,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.809887,land,stable,TP,exploit,2966326,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s004_20260311_021103.log,
5,stable,1,,1.7701549440006,4.40589400624935e-07,1.7885273692327,-124.865317850546,3.29111536343892,3.8426239490509,2.03716938023758,1.35425452460015,0.128223196098725,4.24015495289323,0.207323957846959,0.41704578536653,4.40589400624935e-07,0.00296029151425068,0.000176838420996598,2.30593702634194e-05,0.128029626609742,1.41603552073347e-06,0.00274567228296815,1.08489659256948,1.78177215780626,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,31.970607,land,stable,TP,exploit,2973734,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s005_20260311_021149.log,
6,stable,1,,1.99727599102964,-3.02659700593105e-07,1.84344805081928,-123.930331423136,2.37376311421394,3.22223019599915,0.406612181070161,1.42459947888112,0.521870266496866,6.56253911647288,0.214301866557,0.2462176830216,-3.02659700593105e-07,8.73299796817638e-07,6.93335336923359e-06,0.000184029774657473,0.2462176830216,1.1780799857872e-15,1.15253350251055e-12,1.36397446389497,2.9923202056462,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.08651,land,stable,TP,exploit,2981357,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s006_20260311_021302.log,
7,stable,1,,1.5,-2.23438502565826e-06,2.97015751933949,-128.638934028072,2.84609967470169,2.98737168312073,0.409691218461975,0.999757268494277,0.347993171134873,4.11185995595203,0.26045872116881,0.291288502928543,-2.23438502565826e-06,0.00296028916189617,0.000873203401912904,9.03324420746084e-05,0.291288502928543,1.38669622951852e-06,0.00276281133728169,0.964529409781957,1.70872724664364,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.251638,land,stable,TP,hard_negative,2988755,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s007_20260311_021348.log,
8,stable,1,,2.46388431573709,-2.2343834513016e-06,1.86340075338968,-127.638078331035,0.995186018943787,1.86662769317627,0.249044399440695,1.72498173701458,0.556911466966307,6.68917109217978,0.219300724028842,0.224255566531996,-2.2343834513016e-06,0.00259506650567972,0.000873202786407826,9.03323784020629e-05,0.224255566531996,1.43160050655196e-06,0.00252477943673982,1.42704550139164,3.01528622193773,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.535816,land,stable,TP,exploit,2996180,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s008_20260311_021434.log,
9,stable,1,,2.48399367278384,-5.87010727113204e-07,1.83871612238126,-125.567577173602,1.81508697782244,2.55428004264832,0.341205167443836,1.76590271238834,0.549904252342404,6.57212594435538,0.241127992389921,0.257349176784729,-5.87010727113204e-07,0.000527568351250499,4.03651525816515e-09,0.000335817999794985,0.257261623043346,2.91611051230527e-07,0.000538288344825575,1.42094711101647,2.97555352839462,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.496178,land,stable,TP,exploit,3003594,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s009_20260311_021520.log,
10,stable,1,,2.12949151257711,-4.07066150879368e-07,1.72222955296105,-127.728471965308,2.46280993114818,2.83499383926392,1.30960513240068,1.95983730707923,0.153199879899259,4.64271970401864,0.246833681394059,0.567990600855435,-4.07066150879368e-07,0.000406171011840213,5.26637420029133e-09,0.000232716405054096,0.547206043583512,2.497194736613e-07,0.000622100042388041,0.926260587458231,2.06345428448142,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32.371507,land,stable,TP,exploit,3010973,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s010_20260311_021607.log,
