scenario_id,label,success,failure_reason,tag_lock_acquired,landing_cmd_time,random_bias_x,random_bias_y,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,final_state,launch_pid,launch_log,exception_message
1,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,48.151549,0,0,1.83183284637742,-4.5654699067154e-07,2.21538387968712,-163.378299372785,0,0,1.11671985289698,1.42687904416413,0.0839686062161348,5.50298646062271,0.197043682206697,0.612969799166154,-4.5654699067154e-07,0.00045565139455172,4.08434969592403e-09,0.000261067749598426,0.108027116966172,0.817159442333688,0.453117216951431,0.320065997242438,0.634180284864194,0,0,480860,,
2,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,47.990515,0,0,1.89713178123585,-8.92376018133857e-10,6.58766262661834,70.1383042712941,0,0,0.662709957154478,1.48793010356595,0.0821888919992173,5.50298319144316,0.179098217243612,0.602756169802809,-8.92376018133857e-10,0.000457113484918379,2.78262241027823e-09,1.37596895705668e-10,0.148281123634808,0.843557642004332,0.453830985286232,0.320584563102948,0.635137052980682,0,0,489034,,
3,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,48.26332,0,0,2.11709948006086,-4.71451665692797e-07,7.60177639070684,-167.599411018953,0,0,1.12994060633496,1.26353994069428,0.0808570483170386,5.3068598727453,0.172689999109895,0.442019932789118,-4.71451665692797e-07,0.000470555927652911,4.05641635992283e-09,0.000269607521489139,0.206220880943626,0.909111903841344,0.441406063798434,0.341550397120164,0.6147876102181,0,0,497208,,
4,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,48.228577,0,0,2.2387443596564,-2.23438104047057e-06,3.05246765674407,95.5860437336408,0,0,0.663630406643656,1.16032019437906,0.082456041946978,5.581266159514,0.14686461115341,0.35777679403152,-2.23438104047057e-06,0.00296028226769318,0.00087320184387266,9.03322808971963e-05,0.123723964154685,0.953979621467055,0.462285669762578,0.323246534792932,0.646721914194429,0,0,505635,,
5,unstable,0,tag_error_high;z_unstable;vz_unstable;vz_oscillation_high,0,48.265261,0,0,2.59519990113706,-1.86916593349191e-06,1.49498083643503,-3.68481751623682,0,0,0.74691343592382,1.76757371822786,0.0937461556233628,5.5322606694162,0.228036657718207,0.519173413247946,-1.86916593349191e-06,0.00230975915378265,0.000730417767400403,7.55612469384966e-05,0.235791528119472,1.06548010752205,0.463571551510091,0.359842780859869,0.643995752963798,0,0,513893,,
6,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,1,21.996557,0.125791873797572,0.108568602781688,2.2455862007109,-2.23437376949298e-06,5.17050408089012,75.3713391089061,1.72350136439006,5.17050409317017,1.38933885963572,0.689577185273024,0.137100677789459,5.27163766604357,0.143058579421772,0.377616692668194,-2.23437376949298e-06,0.0029602705004562,0.000873199001227874,9.0331986830868e-05,0.123610032950069,1.35019383210606,0.592026589789566,0.472780997383317,0.852348588003911,0,0,522092,,
7,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,50.210901,0,0,1.96261173519463,-1.86916593348813e-06,0.951981452467013,-0.588941286428536,0,0,0.994729103029134,1.260626352126,0.066445950753682,5.67937422457507,0.178082731193829,0.515245158918507,-1.86916593348813e-06,0.00230975915381546,0.000730417767400814,7.55612469390426e-05,0.0542738456282544,0.862582310795711,0.472535641289081,0.327520432394961,0.661267440331312,0,0,529964,,
8,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,0,48.411913,0,0,2.75974395851608,-5.46204393213733e-07,2.72308581332907,30.6963903527198,0,0,0.853432486848274,0.96249896095637,0.115603932329048,7.88438727480062,0.180156094256702,0.628082076067598,-5.46204393213733e-07,0.000545311256340095,0.000312437693020914,4.03783402444771e-09,0.022299288426048,1.12492471214594,0.7199545985486,0.427689131014703,1.00508172835235,0,0,538338,,
9,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,1,30.952282,0.273632276775059,0.321503997643811,2.02381193949114,7.25907182981029e-07,6.01013647444522,-88.1657584346631,2.40405464172363,6.01013660430908,0.668646893796837,0.599388780532375,0.0941995290097171,5.289548910258,0.108844959370105,0.308129204249659,7.25907182981029e-07,0.00259506520204443,0.000288027012708847,3.16062106212213e-05,0.166900432421959,1.14986941974267,0.506522881509834,0.364861580179516,0.721111952695669,0,0,546618,,
10,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,48.222192,0,0,2.3472155299638,-2.23438104047733e-06,1.10899554262943,-126.254157998739,0,0,0.808061183202258,1.44440214319413,0.0907688813157166,5.62058122425956,0.195456433961657,0.468223116440112,-2.23438104047733e-06,0.00296028226766473,0.000873201843874229,9.03322808973738e-05,0.115792181918995,0.987729921542566,0.470266038870615,0.356651586432585,0.665186157106737,0,0,554641,,
