confidence_bin_center,count
0.025,0
0.075,0
0.125,0
0.175,0
0.225,0
0.275,0
0.325,0
0.375,0
0.425,0
0.475,21
0.525,14
0.575,22
0.625,32
0.675,103
0.725,12
0.775,0
0.825,0
0.875,0
0.925,0
0.975,0
