confidence_bin_center,count
0.025,0
0.075,0
0.125,0
0.175,0
0.225,0
0.275,0
0.325,0
0.375,0
0.425,0
0.475,12
0.525,18
0.575,20
0.625,12
0.675,36
0.725,2
0.775,0
0.825,0
0.875,0
0.925,0
0.975,0
