scenario_id,label,success,failure_reason,tag_lock_acquired,landing_cmd_time,random_bias_x,random_bias_y,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,final_state,launch_pid,launch_log,exception_message
1,unstable,0,tag_error_high;z_unstable;vz_unstable;vz_oscillation_high,1,51.671007,-0.281721716500413,-0.155051246793066,2.61472368639318,7.25906439682126e-07,7.24633549660495,-134.284746134338,5.34848573094323,7.24633550643921,0.611531814819942,0.734384998562435,0.0558884181660077,3.75161694829059,0.266684000146434,0.794593881665244,7.25906439682126e-07,0.00259506546790692,0.000288026708861467,3.16062014201426e-05,0.794593881665244,1.51331418421206,0.371215533385597,0.310275305072861,0.55209349079806,0,0,398610,,
2,unstable,0,scenario_topics_not_ready,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,403216,,not ready after 15.0s | pose(pub=1 sub=1) state(pub=1 sub=1) takeoff(pub=1 sub=1)
