scenario_id,label,success,cum_success_rate,mean_confidence,p10_confidence,p50_confidence,p90_confidence
1,unstable,0,0,0.600549586885046,0.472916943877843,0.639758102517435,0.727077609686693
2,stable,1,0.5,0.573622520120583,0.480457073454609,0.563632296160289,0.689603435858815
3,stable,1,0.666666666666667,0.538851636846385,0.390949187186189,0.566881503468275,0.640305620963214
4,stable,1,0.75,0.679797717934126,0.607638613205551,0.640108459659801,0.780255212288453
5,stable,1,0.8,0.655476357516608,0.630700324909341,0.640136978662581,0.731338885085814
6,unstable,0,0.666666666666667,0.649418836643543,0.603283881193551,0.640159989228872,0.767235671817533
7,unstable,0,0.571428571428571,0.526165132815183,0.438316921729615,0.487652413197974,0.649936308151493
8,stable,1,0.625,0.695452573251928,0.638224886709405,0.66383062554825,0.778314840841728
9,stable,1,0.666666666666667,0.675372047526061,0.638678375824852,0.640305011537105,0.774100959425124
10,stable,1,0.7,0.705509321073391,0.640055154016667,0.684921475757132,0.804285023605767
11,stable,1,0.727272727272727,0.680061167780946,0.638763298642293,0.640305011537106,0.780254930814697
12,stable,1,0.75,0.666976064765437,0.628427232831244,0.640230744852795,0.779083246673301
13,stable,1,0.769230769230769,0.720791258758004,0.639801327519624,0.730058298568838,0.795526439822468
14,stable,1,0.785714285714286,0.595391334884948,0.46847937617174,0.63715997980821,0.70287096060983
15,stable,1,0.8,0.69534401595303,0.638025747849328,0.655895599815662,0.784034435274105
16,stable,1,0.8125,0.649753524207579,0.598621869844644,0.637365791457121,0.760590405875101
17,unstable,0,0.764705882352941,0.677568111471783,0.580921055667252,0.640305620963214,0.77856651769391
18,stable,1,0.777777777777778,0.70642333820026,0.639693692742976,0.67257276689196,0.81016830440706
19,stable,1,0.789473684210526,0.631858085164548,0.568706637506592,0.623273986043016,0.744469744497252
20,stable,1,0.8,0.64073727359059,0.632479042585697,0.640113344859485,0.644972352189539
21,stable,1,0.80952380952381,0.654510959730984,0.592302755907082,0.639839455917446,0.767192268487708
22,stable,1,0.818181818181818,0.695374662628974,0.639791611332149,0.674600036491807,0.777125825327667
23,stable,1,0.826086956521739,0.679065590937868,0.636153522720869,0.640295432543344,0.780111785772526
24,stable,1,0.833333333333333,0.667385900395471,0.634916330971479,0.640162174374665,0.774911984384708
25,stable,1,0.84,0.647930995816196,0.599832135128503,0.640006916811096,0.771940984682146
26,stable,1,0.846153846153846,0.641981382141407,0.594800365650924,0.638118761026415,0.738055045108911
27,stable,1,0.851851851851852,0.655726167893605,0.582403848065928,0.640159595480817,0.769213557626386
28,stable,1,0.857142857142857,0.698418306861511,0.619305328543262,0.669621866157111,0.813292483915215
29,stable,1,0.862068965517241,0.638869602699502,0.601595492593604,0.637469333178738,0.720215150915645
30,stable,1,0.866666666666667,0.671197285718529,0.622677846893818,0.640288243882846,0.77273760500742
31,stable,1,0.870967741935484,0.691646774187189,0.63815048514047,0.652947213774765,0.779222601016883
32,stable,1,0.875,0.675282480066041,0.635384138159334,0.640246519056628,0.77514650135292
33,stable,1,0.878787878787879,0.666459341305128,0.637291014348534,0.640274407939195,0.773672139378915
34,stable,1,0.882352941176471,0.683246175563059,0.63772284242299,0.640267652051652,0.77928696673632
35,stable,1,0.885714285714286,0.664068631590412,0.611914612915912,0.638965048037033,0.77555367238884
36,unstable,0,0.861111111111111,0.671431819831965,0.588074370937752,0.640238736820463,0.773319392684524
37,stable,1,0.864864864864865,0.695949714942467,0.638320894919521,0.656029440958896,0.776105084902737
38,stable,1,0.868421052631579,0.654349028992711,0.585325234282102,0.639362669729714,0.762458571926114
39,stable,1,0.871794871794872,0.657301709047404,0.615972844353974,0.639798664805195,0.767293669508412
40,unstable,0,0.85,0.699106219594223,0.639111644677766,0.681644049107791,0.79031593890197
41,stable,1,0.853658536585366,0.623733646063403,0.554081689698571,0.637687273311232,0.707736874946143
