scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,max_contact_force,arm_force_fl_mean,arm_force_fr_mean,arm_force_rl_mean,arm_force_rr_mean,arm_force_imbalance,final_state,landing_cmd_time,launch_pid,launch_log,exception_message
35,stable,1,,2.28882390640301,-2.23438430215605e-06,1.95980413478806,-124.325449590726,2.23579454421997,2.41799187660217,0.44344285959866,1.71933349790754,0.535940909819666,6.51303657147455,0.230332429926371,0.243589215417495,-2.23438430215605e-06,0.00259506633227696,0.000873203119056842,9.03324128150009e-05,0.243589215417495,1.39190013988556e-06,0.00275283357307083,1.39195592042223,2.91248767623083,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.738074,4061207,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s035_20260310_182239.log,
36,stable,1,,1.98300545857644,-2.23438546491081e-06,1.81192467795081,-124.971217173371,2.52354411284129,3.03075432777405,0.403932740661747,1.40650040629039,0.530318439776307,6.69994024059399,0.251163613863814,0.251163613863814,-2.23438546491081e-06,0.00259506609887755,0.000873203573643069,9.03324598405396e-05,0.251163613863814,1.3689852742038e-06,0.00268152049792356,1.38867752679123,3.08563583003456,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.054043,4068603,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s036_20260310_182326.log,
37,stable,1,,2.00189050106667,4.40590384785083e-07,1.7900796653195,-128.375362034383,2.22904411951701,2.74496912956238,0.381370118016383,1.41785768527748,0.531268536910034,6.63078002494758,0.233748310776187,0.244566963817968,4.40590384785083e-07,0.00267497534315071,0.000176838815271243,2.30594213028606e-05,0.244566963817968,1.31613850423523e-06,0.00260730482101216,1.38053396397766,3.02622159081076,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.023984,4075975,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s037_20260310_182412.log,
38,stable,1,,1.56872794244979,-2.23438492191501e-06,2.08603692655689,-124.144238226158,1.36875700950623,2.75670957565308,1.3608103447243,0.0973271715166916,0.363248608518804,4.26865276919742,0.245016013660544,0.264290824946353,-2.23438492191501e-06,0.00296028893905043,0.000873203361354172,9.03324378795313e-05,0.264290824946353,1.28789124075565e-06,0.00252882126504824,0.99971520244796,1.80192984435401,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.246345,4083413,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s038_20260310_182458.log,
39,stable,1,,1.66859295261672,-2.23438615033207e-06,1.79323415428839,-127.44739410861,3.7640951360975,3.87080454826355,0.421305633247447,0.13453910038084,0.357988930282758,4.27892312663557,0.190864871727488,0.191824138290532,-2.23438615033207e-06,0.00296029096497553,0.000873203841621512,9.03324875667493e-05,0.191824138290532,1.29674449289163e-06,0.00264008722942492,0.942109222943608,1.75967799565322,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.782247,4090840,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s039_20260310_182544.log,
40,stable,1,,1.78527102407607,-5.05212202339602e-07,1.90416616976125,-123.397856590175,4.10235158602397,4.28173208236694,0.387142882061138,0.252479091669227,0.357531116537213,4.23983891363854,0.162978330193107,0.201193096455611,-5.05212202339602e-07,0.000504316142852588,4.04056110169016e-09,0.000288950896052574,0.14449868571684,2.58894387196215e-07,0.000602265394529568,0.932911505011766,1.74147478895242,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.021115,4098227,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s040_20260310_182629.log,
41,stable,1,,2.21693882534093,-8.96891528595371e-10,2.09234525782352,-124.154390138918,3.99322166442871,5.12539291381836,0.640727936414105,0.218795770030369,0.502293639628895,6.59515234993961,0.202736037707698,0.226023112769977,-8.96891528595371e-10,0.000503756650145797,3.3063427824696e-10,2.85736172992591e-09,0.226023112769977,2.77615559110748e-07,0.000591578655455406,1.39353309099345,3.01027067823429,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.713768,4105628,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s041_20260310_182715.log,
42,unstable,0,touchdown_vz_peak_high,2.04959907133491,-8.96811169287622e-10,2.09437476683103,-120.777798980042,2.55503055027553,4.51489877700806,0.473854961265315,0.198110240645041,0.522839142317909,6.81920787819946,0.200067208104179,0.210018399423163,-8.96811169287622e-10,0.000596016915155543,3.84333282865966e-10,2.81702980020275e-09,0.210018399423163,2.91294928878862e-07,0.000567946739504033,1.43522364057409,3.12731838408028,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.247172,4113029,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s042_20260310_182802.log,
43,stable,1,,2.39888424025121,-3.94660747540947e-07,1.99268947323563,-120.842327994628,1.70485130945841,3.41623973846436,2.45215784302042,0.225702268734787,0.563530386097215,6.6316451435071,0.209794110115798,0.235132307264374,-3.94660747540947e-07,0.000719915980546283,6.73559222949584e-09,0.000225607499750549,0.235132307264374,2.84777212252359e-07,0.000631818142649296,1.41077182543988,3.02252702537151,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.25375,4120419,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s043_20260310_182848.log,
44,stable,1,,2.20507488846592,-6.09283493285769e-07,1.64917280694465,-125.036815901135,2.79822031656901,3.35786437988281,0.362854207030177,0.17219343328234,0.509129608361306,6.40641604608792,0.197271410909646,0.214637977838324,-6.09283493285769e-07,0.00060838644288693,4.03624673848735e-09,0.000348579353785324,0.202967604602822,2.88225268464547e-07,0.000563240600322514,1.35859833970448,2.89976991345417,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.237684,4127840,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s044_20260310_182934.log,
