scenario_id,label,success,cum_success_rate,mean_confidence,p10_confidence,p50_confidence,p90_confidence
1,stable,1,1,0.615228816229398,0.521819818995175,0.640132231380801,0.674194626787853
2,stable,1,1,0.54187941881466,0.427710388978684,0.570378653965501,0.640289473931457
3,stable,1,1,0.634027521404052,0.54488197993696,0.640021524102723,0.763640410051643
4,stable,1,1,0.574920203380222,0.48342447282146,0.559336153705776,0.665711140728087
5,stable,1,1,0.622151526968401,0.543765009665915,0.621311291727801,0.759488737133928
6,stable,1,1,0.571994763149654,0.458355567219346,0.616181876383444,0.640304710680169
7,stable,1,1,0.531341250547811,0.383882312972831,0.569225900558093,0.640276842372292
8,stable,1,1,0.678637458535204,0.627580018926125,0.640303712509575,0.777493893665443
9,stable,1,1,0.595308255004911,0.498148258550282,0.639763236108221,0.674538830997946
10,stable,1,1,0.646695509852266,0.607203053335757,0.638685169983755,0.767061983185872
11,stable,1,1,0.666175245108125,0.590813312411196,0.64026924706795,0.77202990469281
12,stable,1,1,0.669917825853827,0.626735272600722,0.639960344220547,0.776954716424619
13,stable,1,1,0.692866359115721,0.638405536028321,0.657064863830948,0.780389663331232
14,unstable,0,0.928571428571429,0.704110596131375,0.639696728674544,0.676892551317914,0.802771572700216
15,stable,1,0.933333333333333,0.677377088963087,0.637466318917519,0.640269266402138,0.780319744182951
16,stable,1,0.9375,0.677375931860458,0.613160859001006,0.640236138118497,0.769863899272748
17,unstable,0,0.882352941176471,0.674113971969914,0.619344381604085,0.640181394233093,0.77754546506105
18,stable,1,0.888888888888889,0.611032433585785,0.539137167375952,0.586806854058679,0.755566495777017
19,stable,1,0.894736842105263,0.602117152704295,0.505202086447699,0.616725355141984,0.773999277857031
20,stable,1,0.9,0.638790696099245,0.584684982973178,0.638455477918785,0.725981439445917
21,stable,1,0.904761904761905,0.671883700512052,0.627525754324032,0.640108313058241,0.779020981397022
22,stable,1,0.909090909090909,0.672053566607954,0.637743672729241,0.640140043665267,0.782304208877235
23,stable,1,0.91304347826087,0.684177180894659,0.63848372410211,0.64686784729452,0.77782247263771
24,stable,1,0.916666666666667,0.682187908405722,0.639340831028872,0.640305620963214,0.776451049773433
25,stable,1,0.92,0.669354887284864,0.630870041480778,0.639812619401969,0.777742177322995
26,stable,1,0.923076923076923,0.688045821245959,0.63915191014704,0.640268760193312,0.776722230359699
27,stable,1,0.925925925925926,0.681326437335436,0.63963861762725,0.640301804055936,0.779999378179114
28,stable,1,0.928571428571429,0.637473709535252,0.619561430709334,0.639557487069981,0.642384024050251
29,unstable,0,0.896551724137931,0.677476328553766,0.633790923105894,0.640305620963214,0.777121715824997
30,unstable,0,0.866666666666667,0.665998614143939,0.626582109666932,0.640048723098803,0.77971733456908
31,stable,1,0.870967741935484,0.680227326722054,0.634873075367773,0.640301804055936,0.778280826961437
32,stable,1,0.875,0.701914476546543,0.639962594357637,0.684628177445897,0.777100936002506
33,unstable,0,0.848484848484849,0.664276675676706,0.625571378639595,0.640026551680646,0.774835952336031
34,stable,1,0.852941176470588,0.682762914203777,0.637850601344143,0.640302586686397,0.784662634196362
35,stable,1,0.857142857142857,0.681336375524889,0.61783416720659,0.640193904481535,0.779746749473558
36,stable,1,0.861111111111111,0.673850491616051,0.638190425993438,0.640277463812749,0.778163702579042
37,stable,1,0.864864864864865,0.667230405201649,0.632866812508615,0.640267525330258,0.771710619014264
38,stable,1,0.868421052631579,0.680822790833868,0.638208497412897,0.640305620963214,0.779163802750895
39,stable,1,0.871794871794872,0.63987707714156,0.58617914938663,0.62272557873187,0.742369597887194
40,stable,1,0.875,0.589752046954696,0.458401341324894,0.636589315731473,0.683407911539312
41,stable,1,0.878048780487805,0.701706532871535,0.639786333399258,0.667302125593143,0.782893263379461
42,stable,1,0.880952380952381,0.634346890927221,0.555535799772339,0.636905134366606,0.775113935617287
43,unstable,0,0.86046511627907,0.691553693519244,0.638984852330692,0.659698695725779,0.777313715845232
44,stable,1,0.863636363636364,0.656023194069432,0.628388658943101,0.63862541127291,0.762444602166548
45,stable,1,0.866666666666667,0.697116407553362,0.640207120088596,0.67032222772282,0.78790799392811
46,stable,1,0.869565217391304,0.646554080949899,0.602271222771378,0.631681903204276,0.766532369864339
47,stable,1,0.872340425531915,0.661215892993361,0.597633752616244,0.637678881990896,0.775919146143976
48,stable,1,0.875,0.588286320805086,0.475140398856152,0.538390266914464,0.791846971798825
49,stable,1,0.877551020408163,0.671059676511032,0.610698852868049,0.63857837927091,0.779485128228193
50,stable,1,0.88,0.663885814577764,0.54870009201404,0.65307951179716,0.784408453022919
51,stable,1,0.882352941176471,0.631227934600264,0.566223930377676,0.638094541992451,0.713276490410003
52,stable,1,0.884615384615385,0.67651429140865,0.633370296522109,0.640302195371167,0.781348699309391
