scenario_id,label,success,failure_reason,tag_lock_acquired,landing_cmd_time,random_bias_x,random_bias_y,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,final_state,launch_pid,launch_log,exception_message,pred_label,pred_score
1,unstable,0,tag_error_high;z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,0,30.503763,0,0,1.50065866758611,-2.23438104049605e-06,2.26876333662705,18.2919149926559,0,0,0.777793602125659,1.43411379749428,0.144659760720534,5.38537878406282,0.216469590747104,0.492362509453813,-2.23438104049605e-06,0.00296028226769038,0.000873201843881613,9.03322808981653e-05,0.28122003273477,0.603987632118253,0.59891553663231,0.429661242181323,0.840240377175756,0,0,652031,,,unstable,1
2,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,0,30.517998,0,0,2.37090219150368,-1.86916593348483e-06,0.338027402659942,145.699913327878,0,0,0.638649668686163,1.87771478638468,0.15587306030697,5.35611337523852,0.174937835418318,0.409253530779171,-1.86916593348483e-06,0.00230975915380205,0.00073041776740017,7.55612469380826e-05,0.0304572084222715,0.835308200094651,0.602797647985296,0.477227273237382,0.861903817419943,0,0,659975,,,unstable,1
3,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,0,30.659735,0,0,1.63097408636517,-1.86916593347792e-06,6.66983158498453,108.168614963662,0,0,0.417963481486128,0.926578230444547,0.143692277573324,5.59107075175662,0.148245813725658,0.301467801881291,-1.86916593347792e-06,0.00230975915378788,0.00073041776739702,7.55612469394254e-05,0.215458028352391,0.648702310162526,0.625277561026906,0.436669680194198,0.879535908696898,0,0,667981,,,unstable,1
4,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,0,30.785296,0,0,2.41788009199864,-1.86916593350584e-06,1.09842926756702,1.70363432068152,0,0,0.734335915524395,2.10385318442637,0.143244400529808,5.41466045276629,0.189218744217902,0.375636671520247,-1.86916593350584e-06,0.0023097591538003,0.000730417767407808,7.55612469409046e-05,0.0647487106308679,0.847090424186903,0.610060815660079,0.474177374496516,0.870391327523534,0,0,675994,,,unstable,1
5,unstable,0,tag_error_high;z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,0,30.626353,0,0,1.9049584801173,-8.9741241108605e-10,1.38857729227774,27.0661004884272,0,0,0.69589620549193,1.64616609781786,0.155812915312184,5.49317765728779,0.184720714957145,0.438182718955996,-8.9741241108605e-10,0.000700072696633105,1.74505479658845e-11,3.11878706737885e-09,0.27692249847284,0.712864683445801,0.62021996446233,0.448159615832142,0.860417075593065,0,0,683976,,,unstable,1
