scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,wind_body_force_x,wind_body_force_y,wind_body_force,mean_wind_body_risk,mean_wind_gust_risk,mean_wind_risk_raw,min_thrust_margin_n,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation
1,2.04352309671389,2.77695369720459,-1.26048238630906,-1.59021559331969,2.04352309671389,-0.0630891022175198,0.0169480729133492,0.0653258906872984,-0.0859876963982334,-0.133033726115238,0.162274630963325,0.0104669984297942,0.12526106562419,0.127963735702033,15.4257993294569,0.839064580244205,0.95838073173783,0.175859484553905,0.240272249816743,0.120389831679142,0.374407469933261,0.156659808412476,0.0404596171658281,,,,,2.0716688985117,-127.374480982322,2.31472368639318,AttemptLanding,AttemptLanding,1,0.570532239597444,0.176998298403079,0.190538148618804,0.897947473128903,0.346493408142604
2,2.30164095362027,3.0,-1.38834104434854,-1.79735024326328,2.30164095362027,0.0111133377378381,0.0055113897555783,0.0124049059937248,-0.10966548468333,-0.17504034909468,0.215828279560501,0.0139303850866223,0.228630626948294,0.230320874034154,15.3893752852737,1.63610055953997,1.68272760668781,0.033261193376485,0.108093326953066,0.112325893532742,0.46727358977045,0.0233958078469091,0.0058641249231309,,,,,2.42882567996652,-126.095851442396,1.57120630545374,AttemptLanding,AttemptLanding,1,0.659835095772237,0.159405018200954,0.108173556804378,0.957292896291396,0.350077380652114
3,1.79112406115274,2.79916882514954,-1.10536942676883,-1.37626657370765,1.79112406115274,-0.0777622079479448,0.0192249759529492,0.0801034374127034,-0.0709317793058455,-0.105099892484869,0.133305605744354,0.0085979542774509,0.188697030134216,0.190864330603541,15.4520902322405,0.760990408211563,0.893060238218693,0.175710242197343,0.240271745104497,0.155095469186124,0.412872527376706,0.156742991536778,0.0404646170898363,,,,,1.87319628751653,-127.297520073929,1.5,AttemptLanding,AttemptLanding,1,0.515805949094773,0.241495702091608,0.229275379263574,0.899148766679376,0.331068680361723
4,2.43594082655426,3.0,-0.717008968694153,-2.29345813591835,2.43594082655426,-0.031614009324881,-0.0168761739319635,0.0358364455851239,-0.0320839197491344,-0.272436616239302,0.276021596526062,0.0178143898883572,0.231153059175795,0.232713426745051,15.3495785516413,1.58740760075747,1.40485631092493,0.063596255067861,0.240219921718235,0.119384590022261,0.537367197367628,0.0018889421937932,0.0083556313111826,,,,,2.46779887999601,-105.553838771394,1.5450930689097,HoldLanding,HoldLanding,0,0.69612690576348,0.13348332904923,0.0839679386793308,0.944691227445708,0.346940182212328
5,1.83942497344244,2.63915157318115,-1.0771912491836,-1.46845488174891,1.83942497344244,-0.0598259590476883,0.0108193563421599,0.0607964131148731,-0.0642237934552637,-0.115046172916098,0.135834512381598,0.0087625098478218,0.148957709831103,0.151155901459063,15.4150361952826,0.992895884748264,1.05281944463186,0.177714269530085,0.240231662677308,0.170012570274009,0.476620896471825,0.15657849398249,0.0419912384431386,,,,,1.88084050141636,-125.058018224367,1.61342841498947,AttemptLanding,AttemptLanding,1,0.52074450654313,0.19108449401227,0.199510679429408,0.895069387646971,0.324438857655996
6,1.87851832826932,2.69201612472534,-1.03796620105629,-1.54505491322884,1.87851832826932,0.0042874770564041,0.0026776169252396,0.0050549077051437,-0.059935721324654,-0.126249908079785,0.143250284225994,0.0092461316839868,0.147817447791351,0.148963873365434,15.4422398059416,1.59314345753181,1.62137688510562,0.0182050510505147,0.0470118513615046,0.115035203322698,0.438118340576291,0.0001921947393749,0.0073408949756164,,,,,1.9161886291726,-122.783489357006,2.30561694181787,AttemptLanding,AttemptLanding,1,0.530730995544906,0.183963737281881,0.113133078608065,0.965640528925449,0.34887324296769
7,1.89834988279408,2.69431924819946,-1.06292594874421,-1.55703236269112,1.89834988279408,-0.0378658103883023,0.0102888091103981,0.03923874602065,-0.0624830083574245,-0.129600346284531,0.146721579638765,0.0094655585097851,0.1361651723802,0.138546668659637,15.3762824480743,1.06038488755424,1.09690336312498,0.178013943292863,0.240258259289829,0.160887314159391,0.472521350177996,0.159616138673615,0.035555344759518,,,,,1.96867067391655,-123.586570068552,2.02873775855257,AttemptLanding,AttemptLanding,1,0.533935969143681,0.186286877319998,0.195641848745349,0.894042906383946,0.328494527040271
8,1.89771467812207,2.84592056274414,-1.10155406724208,-1.51198987774294,1.89771467812207,-0.0611984225950744,0.0281133657604492,0.0673469246699959,-0.0709458327775605,-0.1261720736164,0.1513836792135,0.0097646092292989,0.198110546594925,0.200444641815244,15.4173410532048,0.96847593413156,0.934988183821651,0.176443893103953,0.240278620140793,0.143653198143603,0.466009454796264,0.159275669235915,0.0383108685108807,,,,,1.96461919299708,-125.030810267647,2.35691217404798,AttemptLanding,AttemptLanding,1,0.546146175862268,0.225693260229465,0.2201363673778,0.89682226394982,0.336154134158399
9,2.61087479948998,3.0,-0.806029464540062,-2.44830263959086,2.61087479948998,0.0048915045880168,0.0034225735643146,0.0059699938808792,-0.0431303972056168,-0.312315316660136,0.31752929134908,0.0204891999210147,0.200301567664731,0.202707307768179,15.4429613735973,1.53289348899991,1.27510719960682,0.0307843692410717,0.0517729654118875,0.100457671331501,0.488281546814055,0.0135148524578814,0.0051420869710804,,,,,2.98365709536118,-106.900241715489,1.80024377895991,AttemptLanding,AttemptLanding,1,0.736774741417629,0.0886476689929168,0.0610650522958074,0.962544952826126,0.355352146074889
10,1.89231572345811,2.65409898757935,-1.13477987564639,-1.49990463502463,1.89231572345811,-0.0419683069971995,0.0061597826049391,0.0424179409442667,-0.0692901507983056,-0.119481917659789,0.140880069099529,0.0090877046862907,0.130797911157874,0.133016888081974,15.3841586583932,1.00410509443088,1.04416992699768,0.177428978134474,0.240272612248207,0.141826602201058,0.479686332825191,0.159549735696053,0.0376293693538974,,,,,1.92399487038037,-126.353098118705,1.54056507555475,AttemptLanding,AttemptLanding,1,0.531220903871892,0.179177856933726,0.192101114840707,0.895191921478682,0.336965954577308
