scenario_id,gt_safe,pred_land,pred_hover,intervention_case,valid,valid_raw,cum_accuracy,cum_precision,cum_recall,cum_unsafe_landing_rate,cum_f1,mean_confidence
1,0,0,0,0,1,1,1,NaN,NaN,0,NaN,NaN
2,0,0,0,1,0,1,1,NaN,NaN,0,NaN,NaN
