method,n_valid,accuracy,precision,safe_recall,unsafe_reject,balanced_accuracy,f1,unsafe_landing_rate,TP,FP,FN,TN
Ontology+AI (policy),1000,0.754,1,0.675889328063241,1,0.837944664031621,0.806603773584906,0,513,0,246,241
Ontology+AI (executed),1000,0.567,0.732857142857143,0.675889328063241,0.224066390041494,0.449977859052367,0.703221384509938,0.775933609958506,513,187,246,54
Threshold baseline,1000,0.512,0.747714808043876,0.538866930171278,0.427385892116183,0.48312641114373,0.626339969372129,0.572614107883817,409,138,350,103
