pid	worker_id	domain_id	gazebo_port	log_file
179204	1	60	13045	/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260321_200639/logs/worker_1.log
179288	2	61	13046	/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260321_200639/logs/worker_2.log
179544	3	62	13047	/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260321_200639/logs/worker_3.log
179811	4	63	13048	/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260321_200639/logs/worker_4.log
