pid	worker_id	domain_id	gazebo_port	log_file
216121	1	60	13045	/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260321_203106/logs/worker_1.log
216197	2	61	13046	/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260321_203106/logs/worker_2.log
216452	3	62	13047	/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260321_203106/logs/worker_3.log
216745	4	63	13048	/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/parallel_runs/20260321_203106/logs/worker_4.log
