scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,wind_body_force_x,wind_body_force_y,wind_body_force,mean_wind_body_risk,mean_wind_gust_risk,mean_wind_risk_raw,min_thrust_margin_n,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation
1,2.0359069790159,2.69664525985718,-1.25128694433844,-1.5880634807639,2.0359069790159,-0.0564653866482602,0.0094921077141577,0.0572576632268091,-0.0846625618802829,-0.132861205090181,0.161324174926397,0.0104059777007457,0.12928510746631,0.131887587900466,15.43799429481,0.956229071679121,0.96137446086678,0.17570591894838,0.240261898256166,0.146637254772777,0.374237229575369,0.156668949556745,0.0414217308513408,,,,,2.0716688985117,-127.374480982322,2.31472368639318,AttemptLanding,AttemptLanding,1,0.569286045317665,0.159163351447537,0.18019110269827,0.897080155627235,0.334827886767655
2,2.30015277504921,3.0,-1.39103185894634,-1.79412628981296,2.30015277504921,0.0069255752650961,0.0068468822740554,0.0097387570884218,-0.109621308436962,-0.174426255631917,0.215076024127473,0.0138994938907146,0.227286264464944,0.229007936262519,15.3920667599587,2.55756481159808,2.51587427664994,0.0167130986875511,0.0778053305255227,0.16630322591744,0.441132715072139,8.60576175021934e-07,0.008345717736604,,,,,2.42882567996652,-126.095851442396,2.44606496263825,AttemptLanding,AttemptLanding,1,0.65917566059896,0.159251064413472,0.0985858275760573,0.951780714962847,0.926087455147805
3,1.81144195916701,2.6037859916687,-1.12321350627164,-1.40646239966953,1.81144195916701,-0.0321550881897239,0.0164705770367206,0.0361279615313606,-0.0690370348929736,-0.105783331509093,0.12915852668547,0.008331543539324,0.130578942374565,0.132702229640962,15.4400042569669,0.780190142800069,1.12052723086796,0.17789370417944,0.240250659769172,0.168819725866259,0.469996739393371,0.159405806913845,0.0363861629774776,,,,,1.87319628751653,-127.297520073929,2.10402943828375,AttemptLanding,AttemptLanding,1,0.509591635039396,0.184900866926963,0.19501887744303,0.896118939974317,0.324969010726107
4,2.43400210938831,3.0,-0.699255505141199,-2.29642565176226,2.43400210938831,-0.0247669634114317,-0.0171801233900967,0.0301423143823122,-0.0327187337095877,-0.271967122608808,0.275844685851991,0.0178232223410613,0.235167171583607,0.236753474751925,15.3084865912331,2.46048436002281,1.68424090207099,0.0638480392280433,0.240562490233764,0.163221338890537,0.499647663458249,0.0018846121911252,0.0071231036758574,,,,,2.46779887999601,-105.553838771394,1.72086210294086,HoldLanding,HoldLanding,0,0.696417924120602,0.13287561635772,0.0831531947514035,0.935510281898098,0.327457182715317
5,1.84375846185604,2.78195476531982,-1.04079842866877,-1.48993326546603,1.84375846185604,0.0310945098309382,-0.0980426347022656,0.102855368168065,-0.0633381223759434,-0.121994568443228,0.143540713479277,0.0092579910754037,0.18256619739036,0.185382008817121,15.4634024329987,0.830419309912681,0.909083846103582,0.164848734198057,0.240262909762747,0.155256311206263,0.323943074882259,0.159541518304237,0.0361976752648054,,,,,1.88084050141636,-125.058018224367,1.69224981375678,AttemptLanding,AttemptLanding,1,0.528745324925035,0.22995098577683,0.222040723940032,0.903908108103701,0.330997195019439
6,1.87146658062935,3.0,-1.03876619936428,-1.52683999056909,1.87146658062935,0.0059709759380373,0.0043159363043318,0.0073674866702065,-0.0629623489636862,-0.12627734029325,0.146326930181352,0.0094400087282604,0.195236150269876,0.196340876475332,15.3906223924313,1.28538860486362,0.860441446471368,0.0179627301615386,0.0692058796665757,0.093011013362203,0.495320264386304,0.000172976618812,0.0046144353131535,,,,,1.9161886291726,-122.783489357006,1.67552470578086,AttemptLanding,AttemptLanding,1,0.538325930129559,0.255270725247934,0.154917290123521,0.974158541658741,0.358661771839021
7,1.92667109020485,2.77011370658875,-1.05879737997385,-1.59318287371823,1.92667109020485,0.043789509151781,-0.0548369958051328,0.0701756169954071,-0.0615370186143182,-0.135098560722472,0.151368268745244,0.0097622935982281,0.123402229591345,0.126372157729609,15.4719845035227,0.906093872054495,0.813623004225573,0.163626001008068,0.240260248701954,0.139733037946189,0.38486646189892,0.156727582947742,0.0405796413425177,,,,,1.96867067391655,-123.586570068552,1.94717711453243,AttemptLanding,AttemptLanding,1,0.539053388933883,0.202640118468867,0.205997007829111,0.904674938325194,0.337896427579471
8,1.91664136933886,2.74992442131042,-1.09033427652225,-1.55918438036536,1.91664136933886,0.0402668188019976,-0.0606272425888253,0.072781036268778,-0.0646941915207192,-0.129318388983805,0.147731976877664,0.0095289260798541,0.128270647034644,0.131171487456977,15.4473950195763,1.00758698241446,0.975498455173035,0.163875775034886,0.240262557664605,0.150769324217555,0.428291985081689,0.156811269610178,0.0418155302840821,,,,,1.96461919299708,-125.030810267647,1.85960107785415,AttemptLanding,AttemptLanding,1,0.537338662648425,0.200831876676211,0.20539867098628,0.902480726901512,0.332991411458864
9,2.60886596043905,3.0,-0.79759915026967,-2.45246803001915,2.60886596043905,0.005296763514513,0.003147250551737,0.0061612409272877,-0.0414554029751601,-0.313376131182424,0.318062004355397,0.0205258213772247,0.193963746267228,0.196459846569766,15.4355033232788,1.55088544165958,1.37823367337698,0.0056440674742205,0.0298634034629723,0.0986886024195266,0.38676324293348,0.0002051494013524,0.0067899296311311,,,,,2.98365709536118,-106.900241715489,2.21071824719336,AttemptLanding,AttemptLanding,1,0.734989558764365,0.089134719737884,0.0560410746748539,0.97416345893046,0.356138398924655
10,1.88124439539003,2.70151519775391,-1.11024332126295,-1.49525750485536,1.88124439539003,0.0361127246628024,-0.0665464176062425,0.0757136353558314,-0.0687238870757616,-0.120519655395598,0.143364888100021,0.0092455714596532,0.142785809805292,0.145478780892878,15.4792077914072,0.817674602725004,0.813359679592112,0.162749650006673,0.240250049551945,0.138624399890584,0.365708226024714,0.159607579511889,0.0354184571186194,,,,,1.92399487038037,-126.353098118705,2.04547851600811,AttemptLanding,AttemptLanding,1,0.530760928282584,0.198441763680441,0.202881199165774,0.9058099056356,0.338389155604185
