baseline_source,model_path,feature_count,n_samples,method_key,method_name
threshold_rule_based,,4,30,threshold,Physics Threshold Baseline
model_inference,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/models/schema_decision_sensor_single_ai_v1/autosim_model_aii_only_train_only_20260414_225947.mat,16,30,aii_only,AI-Only baseline
