scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation,onto_landing_context
1,2.03035752221841,2.71313738822937,-1.25067042040424,-1.58104650334064,2.03035752221841,-0.0581700540789454,0.0124251505258764,0.0594822625421908,0.873651114917221,0.774264271914277,0.175619865218263,0.240261134908375,0.112711891344847,0.368673560818119,0.156803282607747,0.0441443767424247,NaN,NaN,NaN,NaN,2.0716688985117,-127.374480982322,2.31472368639318,stable,stable,1,0.630798751347023,0.164530551318535,0.184461179250395,0.899242160780049,0.349905826068957,0.567858765050421
2,2.30181458036105,3,-1.39050571872146,-1.79589423308431,2.30181458036105,0.00998973090524519,0.00566280362353173,0.0114831210233932,2.23922358036135,2.12499618231895,0.0196798247800966,0.0629855638528502,0.142027965812281,0.467637389631507,0.000284447992062556,0.00457460092928657,NaN,NaN,NaN,NaN,2.42882567996652,-126.095851442396,2.29562827713516,stable,stable,1,0.713830459402471,0.159196958273053,0.0973080875406506,0.955869789474606,0.336876459638986,0.793370539941547
3,1.78335136337345,2.79758334159851,-1.09591694601419,-1.37611404928493,1.78335136337345,-0.0676404469643039,0.0181881290956719,0.0700431160467011,0.94172058907789,0.998313258719908,0.175900707325711,0.240280308482808,0.174997422824341,0.441875278237286,0.156657204520588,0.0411095428376752,NaN,NaN,NaN,NaN,1.87319628751653,-127.297520073929,1.91522303990107,stable,stable,1,0.554473262020193,0.241043433042534,0.229200408725138,0.896806523247304,0.322223367633626,0.575336304646641
4,2.42784212669128,3,-0.698708084209825,-2.28854355189753,2.42784212669128,-0.0286131926005313,-0.0157737541772644,0.0326730180981167,1.44936073255083,1.29883155834974,0.0622092343821461,0.240258082822902,0.113906421901309,0.453165645619348,0.00188956941835311,0.00795991183624046,NaN,NaN,NaN,NaN,2.46779887999601,-105.553838771394,1.74899472413455,unstable,unstable,0,0.753393429696587,0.134725574812449,0.0845696669128453,0.947302443380422,0.349374923599418,0.56261871957288
5,1.8012608252976,2.80760431289673,-1.03739240678639,-1.44326016105352,1.8012608252976,-0.0531455715729465,0.0149309811729456,0.0552031337570797,0.757648754308401,0.915555963500659,0.17737908197071,0.240287539562966,0.160252256115299,0.475229443386013,0.159442404234973,0.034603570919291,NaN,NaN,NaN,NaN,1.88084050141636,-125.058018224367,2.30476214805669,stable,stable,1,0.559678928963256,0.236547859231934,0.225375123008184,0.898163850517574,0.328776775059867,0.575217545914715
6,1.87843744476636,2.80105590820312,-1.03375559488261,-1.55454711452175,1.87843744476636,0.00327680618448155,0.00205077898779902,0.00386563749302162,2.27711944970115,2.22846722208482,0.0188498833344764,0.0764822862291514,0.141567402933416,0.496820786891135,0.000205113093643843,0.00542002119937933,NaN,NaN,NaN,NaN,1.9161886291726,-122.783489357006,2.30128167623669,stable,stable,1,0.582405806085743,0.208297854480326,0.127040790862922,0.955174020197301,0.337081154251815,0.80715923741856
7,1.89986503772995,2.92770218849182,-1.06645620773499,-1.53920291952964,1.89986503772995,-0.0800809793431222,0.00543170264689345,0.0802649777063311,0.937067025786446,0.912491885289307,0.177956483988234,0.240309657120713,0.151930338102509,0.42472976240734,0.159484982383472,0.0363448792622082,NaN,NaN,NaN,NaN,1.96867067391655,-123.586570068552,1.88588750578267,stable,stable,1,0.590831011176099,0.245978604834248,0.231685697024915,0.896489509418859,0.332475405287774,0.571323175576745
8,1.91642840784423,2.79709005355835,-1.11681782576896,-1.53251316291233,1.91642840784423,-0.067560412224645,0.0133432479162768,0.0688654598831605,0.878304446630812,0.866344345535382,0.177172262980821,0.240249276519916,0.149057194613141,0.472981496597534,0.159525616560366,0.0377850990424915,NaN,NaN,NaN,NaN,1.96461919299708,-125.030810267647,1.92699107115159,stable,stable,1,0.595699667162319,0.210774204597589,0.211104832800834,0.897705913713998,0.333752357949715,0.571166818254207
9,2.61288048704465,3,-0.807288617156674,-2.45006178803338,2.61288048704465,0.00365423051114348,0.00321059445271402,0.0048642900168853,2.00793982537789,1.7231011885767,0.0338972540975553,0.0517777771771576,0.128291341761977,0.47444034403257,0.0152211318625538,0.00532242426025346,NaN,NaN,NaN,NaN,2.98365709536118,-106.900241715489,1.66743113249403,stable,stable,1,0.810106451084236,0.0879936769180489,0.0614965806490262,0.953736050698722,0.342981625883566,0.783056666700562
10,1.89686905121317,2.63489580154419,-1.13672530477729,-1.50545305413169,1.89686905121317,-0.0517552484421375,-0.00279249979456169,0.0518305295787146,0.890607008161448,1.0108065135961,0.17631245393035,0.240269731130849,0.16870518471789,0.415614394337866,0.159738586501161,0.0378661658705951,NaN,NaN,NaN,NaN,1.92399487038037,-126.353098118705,2.4581105751563,stable,stable,1,0.589238784899585,0.175558282580578,0.190099411744231,0.896904095363873,0.32501991790316,0.571980335872526
